dk-cph-wg-402	ML0NcFPqy+x+ZJg7y9vfh77hXAOtgueIqp1j+CJVrXM	146.70.197.130:51820
ee-tll-wg-001	bdq37KtfoG1Tm7yQcfitdRyGeZOn/c7PwLN+LgG/6nA	194.127.167.67:51820
ee-tll-wg-002	vqGmmcERr/PAKDzy6Dxax8g4150rC93kmKYabZuAzws	194.127.167.87:51820
ee-tll-wg-003	+8dUgpD7YA4wMPnRQkO7EI7AeYd30QPMKh/hOaaGIXY	194.127.167.107:51820
es-bcn-wg-001	asbfbY0oP07dBdmVNDSuO3o5rbkGnR56PkXTGXO7YFg	185.188.61.195:51820
es-bcn-wg-002	SoTWu5Cf7JSfaPVftMrTVzeyICGc7oc+ODl6GfqzUHA	185.188.61.225:51820
es-bcn-wg-101	TQDQ/SUW7pme5aRWFT4ugr9YAABS/uwJNZgqYKTM+iU	185.253.99.30:51820
es-bcn-wg-102	GqDjspXPQWM3V5nh1M9IhnxgiIwctvxuFyj73oYTRwo	185.253.99.98:51820
es-mad-wg-101	oPpPeyiQhUYqtOxwR387dmFfII8OK5LX2RPyns1rx2U	45.134.213.194:51820
es-mad-wg-102	1Wo/cQeVHX2q9k95nxN+48lgkGLsPQ+uesRb/9XdY1Y	45.134.213.207:51820
es-mad-wg-201	LyO4Xs1eV8JwFr63a1FRnKboQn2Tu/oeMzHhbr7Y6GU	146.70.128.194:51820
es-mad-wg-202	iehXacO91FbBqni2IFxedEYPlW2Wvvt9GtRPPPMo9zc	146.70.128.226:51820
es-vlc-wg-001	aEObX8ThiHcN/Y40UqY8dXaGMJsVQUWhrEphbpuQRkw	193.19.207.195:51820
es-vlc-wg-002	JEDqyG7iGjy/rYsE/9H7y0Sz8Sl+KWYYUvkPG7NnCjk	193.19.207.225:51820
fi-hel-wg-001	veLqpZazR9j/Ol2G8TfrO32yEhc1i543MCN8rpy1FBA	185.204.1.203:51820
fi-hel-wg-002	8BbP3GS01dGkN5ENk1Rgedxfd80friyVOABrdMgD3EY	185.204.1.211:51820
fi-hel-wg-003	FKodo9V6BehkNphL+neI0g4/G/cjbZyYhoptSWf3Si4	185.204.1.219:51820
fi-hel-wg-101	2S3G7Sm9DVG6+uJtlDu4N6ed5V97sTbA5dCSkUelWyk	193.138.7.137:51820
fi-hel-wg-102	xeHVhXxyyFqUEE+nsu5Tzd/t9en+++4fVFcSFngpcAU	193.138.7.157:51820
fi-hel-wg-103	Mlvu14bSD6jb7ajH/CiJ/IO8W+spB8H6VmdGkFGOcUQ	193.138.7.177:51820
fi-hel-wg-104	keRQGHUbYP2qgDTbYqOsI9byfNb0LOpTZ/KdC67cJiA	193.138.7.197:51820
fi-hel-wg-201	u+Ir9bnz8PtwXoJGQXvCxz6a+1NChEbBIox8KdWarxk	185.65.133.5:51820
fi-hel-wg-202	hAbVKL5Q0285gJ28nMSfztw7/FXJb+cxiKD2NMgPpTM	185.65.133.85:51820
fi-hel-wg-203	Ck25URxG+bxlgfJVZ0A6wm7xddltSu5t1yig3CgKBDM	185.65.133.165:51820
fr-bod-wg-001	y6dcYS7MPeApbLoWLahjku5w5cufnNkwHzj1iwDPpS0	45.134.79.67:51820
fr-bod-wg-002	ZBOJ2w5DqG35T1zjV/F1UgrXkDhNxObnwdm2FUwyu2o	45.134.79.97:51820
fr-mrs-wg-001	MOk2OTDEaFFN4vsCAgf+qQi6IlY99nCeDEzpXyo65wg	138.199.15.162:51820
fr-mrs-wg-002	Z0LEgZIPhNj0+/VWknU3roHlVI3qqAfoV6th9NSC0F0	138.199.15.146:51820
fr-par-wg-001	ov323GyDOEHLT0sNRUUPYiE3BkvFDjpmi1a4fzv49hE	193.32.126.66:51820
fr-par-wg-002	R5Ve+PJD24QjNXi2Dim7szwCiOLnv+6hg+WyTudAYmE	193.32.126.67:51820
fr-par-wg-003	w4r/o6VImF7l0/De3JpOGnpzjAFv9wcCu8Rop5eZkWc	193.32.126.68:51820
fr-par-wg-004	E/KjR7nlFouuRXh1pwGDr7iK2TAZ6c4K0LjjmA1A2Tc	193.32.126.69:51820
fr-par-wg-006	x0k8A2S7Dx7VNX2Yo2qRPZW/VefIogID5bVynklBugE	193.32.126.84:51820
fr-par-wg-007	D2o4woLw59apODi8NgvVtsbEJOAF5HRxXCp3R4mzGAs	193.32.126.83:51820
fr-par-wg-101	py4bg/TO5waXCoytaDpddP/qkI0tS1Wv3yAcgZ/A4wA	146.70.184.2:51820
fr-par-wg-103	BKxcFQnXCpgpGk38nDIWKgl6oeABN3GyyreMrOY7qh4	185.244.213.2:51820
fr-par-wg-301	gCYpOei4ZYsWJ3mOgCdQo6bnsRgdLNJR9SWEA69U7Gw	95.173.222.2:51820
fr-par-wg-302	CpbLl0WVeiW+YbJKNod5khzAI03D2hX2dhq2CCYc2Xc	95.173.222.31:51820
gb-glw-wg-001	xCPSxGj0QVKC637D8HpRsUUCaSfgAF4ephG/CjhQ2kU	185.201.188.3:51820
gb-glw-wg-002	tX+LKwiFvZhGtbuJq8e62+/vhogHNqdAdjHeoOlWqws	185.201.188.33:51820
gb-lon-wg-001	IJJe0TQtuQOyemL4IZn6oHEsMKSPqOuLfD5HoAWEPTY	141.98.252.130:51820
gb-lon-wg-002	J57ba81Q8bigy9RXBXvl0DgABTrbl81nb37GuX50gnY	141.98.252.222:51820
gb-lon-wg-003	VZwE8hrpNzg6SMwn9LtEqonXzSWd5dkFk62PrNWFW3Y	185.195.232.66:51820
gb-lon-wg-004	PLpO9ikFX1garSFaeUpo7XVSMrILrTB8D9ZwQt6Zgwk	185.195.232.67:51820
gb-lon-wg-005	bG6WulLmMK408n719B8nQJNuTRyRA3Qjm7bsm9d6v2M	185.195.232.68:51820
gb-lon-wg-006	INRhM0h4T1hi9j28pcC+vRv47bp7DIsNKtagaFZFSBI	185.195.232.69:51820
gb-lon-wg-007	MVqe9e9aDwfFuvEhEn4Wd/zWV3cmiCX9fZMWetz+23A	185.195.232.70:51820
gb-lon-wg-008	uHkxYjfx6yzPHSdyqYqSEHsgFNFV8QCSV6aghuQK3AA	141.98.252.138:51820
gb-lon-wg-201	b71Y8V/vVwNRGkL4d1zvApDVL18u7m31dN+x+i5OJVs	185.248.85.3:51820
gb-lon-wg-202	+iQWuT3wb2DCy1u2eUKovhJTCB4aUdJUnpxGtONDIVE	185.248.85.18:51820
gb-lon-wg-203	G7XDQqevQOw1SVL7Iarn9PM+RvmI6H/CfkmahBYEG0g	185.248.85.33:51820
gb-lon-wg-204	tJVHqpfkV2Xgmd4YK60aoErSt6PmJKJjkggHNDfWwiU	185.248.85.48:51820
gb-lon-wg-305	QCmRXGF/4sefzm5bdfXEcN/fYQGrb+F6HbOzI/FK4hU	146.70.119.2:51820
gb-lon-wg-306	zTM3WRyxGSqh+ZMUBXDynlyOWYkSG/J/eTFb8boDAkw	146.70.119.130:51820
gb-lon-wg-308	Piwplz/ROMLZqL/GEeH3//jcMYQ5oatOeWcKZOi0Nyk	135.136.58.130:51820
gb-mnc-wg-001	Q2khJLbTSFxmppPGHgq2HdxMQx7CczPZCgVpYZMoNnM	146.70.132.2:51820
gb-mnc-wg-002	1yWXDkKtU7NQU1349DS/nvGr0XjQgsZFhRt2P+fVtTg	135.136.22.2:51820
gb-mnc-wg-003	3pCAP2xIdWn3O83V9tzuF0W5fmLkhFO+od0VsU3Kiy0	135.136.22.130:51820
gb-mnc-wg-004	BvBubnaVVynalBjiHxHxbtBLLMBC+suHZdonTpBT4zg	135.136.21.2:51820
gb-mnc-wg-201	x3APiw/mxJzdD+3WAPxTFnvOZHVotm6SGomHtMoR4Hg	167.160.13.3:51820
gb-mnc-wg-202	OpQgffPufxbHQUbItRoezS2V+yAEBKZ10jfU82YIByI	167.160.13.127:51820
gr-ath-wg-101	li+thkAD7s6IZDgUoiKw4YSjM/U1q203PuthMzIJIU0	149.102.246.2:51820
